iter	RMSE
262	69187.62163
263	69182.72437
264	69169.41229
265	69155.70498
266	69148.1476
267	69137.94696
268	69119.73266
269	69109.86386
270	69086.46508
271	69075.87355
272	69063.12302
273	69038.72087
274	69033.40446
275	69001.71393
276	68977.44557
277	68965.71398
278	68961.11266
279	68949.90146
280	68943.45433
281	68919.19345
282	68910.38132
283	68897.84803
284	68877.63332
285	68851.28399
286	68839.08789
287	68821.83791
288	68810.03855
289	68795.35692
290	68783.78065
291	68773.69979
292	68757.95377
293	68736.97436
294	68724.41851
295	68721.42376
296	68696.21328
297	68685.21769
298	68673.2648
299	68669.13961
300	68649.45525
301	68642.19134
302	68614.82795
303	68589.1874
304	68573.99943
305	68545.5419
306	68532.86305
307	68506.04937
308	68478.24383
309	68469.50148
310	68456.28108
311	68429.64436
312	68394.08919
313	68386.66434
314	68367.14255
315	68363.27189
316	68354.55538
317	68329.24244
318	68321.05357
319	68295.81454
320	68271.73389
321	68265.7388
322	68238.1646
323	68228.19869
324	68216.6024
325	68192.64279
326	68172.54612
327	68164.9896
328	68159.26467
329	68140.54206
330	68121.86826
331	68103.96284
332	68094.33958
333	68068.27823
334	68040.99889
335	68037.28541
336	68025.89783
337	67999.88535
338	67994.38104
339	67982.67358
340	67957.04494
341	67946.83029
342	67923.43348
343	67912.22848
344	67901.20144
345	67876.35982
346	67865.83679
347	67842.33928
348	67819.325
349	67806.59885
350	67801.33565
351	67778.93029
352	67755.19486
353	67746.82874
354	67738.94651
355	67732.03993
356	67709.28121
357	67699.62174
358	67676.43456
359	67665.38854
360	67642.70482
361	67624.41641
362	67599.77325
363	67582.52291
364	67573.62444
365	67571.25233
366	67560.1108
367	67552.50119
368	67529.41731
369	67515.86647
370	67498.62223
371	67478.19669
372	67468.45564
373	67449.99099
374	67426.56453
375	67417.14645
376	67406.35085
377	67389.81201
378	67371.93369
379	67361.60597
380	67355.05645
381	67343.2725
382	67319.70062
383	67300.64015
384	67283.83438
385	67262.07642
386	67242.63119
387	67233.71005
388	67227.11562
389	67223.67811
390	67214.27651
391	67204.67635
392	67192.59825
393	67171.80148
394	67151.93635
395	67135.84615
396	67127.21664
397	67111.34306
398	67090.3236
399	67072.06667
400	67065.68886
401	67043.50644
402	67038.39947
403	67028.90397
404	67018.22093
405	67013.40461
406	66988.36263
407	66964.39188
408	66949.56297
409	66934.34579
410	66920.58335
411	66915.90839
412	66893.91624
413	66883.97025
414	66874.46
415	66866.18391
416	66850.21714
417	66828.43415
418	66814.17676
419	66800.95388
420	66776.96978
421	66762.70621
422	66747.64815
423	66723.89153
424	66716.419
425	66696.28714
426	66687.47091
427	66678.55111
428	66656.6873
429	66634.88038
430	66623.44438
431	66616.28674
432	66610.04182
433	66607.92977
434	66587.95271
435	66567.09163
436	66546.66243
437	66538.71818
438	66519.2578
439	66514.7474
440	66507.20172
441	66497.10163
442	66482.45362
443	66463.31666
444	66443.64697
445	66435.08724
446	66426.81749
447	66419.41766
448	66413.83514
449	66411.82007
450	66397.39785
451	66384.95093
452	66375.22352
453	66354.705
454	66335.49029
455	66321.45343
456	66312.67336
457	66300.77766
458	66292.47177
459	66286.11706
460	66278.82526
461	66265.12714
462	66246.91508
463	66235.56062
464	66227.83011
465	66223.00749
466	66205.0647
467	66195.21616
468	66185.37473
469	66165.01302
470	66153.64232
471	66135.94709
472	66119.61734
473	66108.91416
474	66095.07526
475	66089.45455
476	66084.19874
477	66067.50383
478	66049.1027
479	66038.58647
480	66023.56278
481	66008.54269
482	65989.82132
483	65970.08007
484	65951.17596
485	65944.21856
486	65927.17973
487	65906.5488
488	65888.63993
489	65870.88756
490	65858.0899
491	65840.84921
492	65812.33051
493	65804.8171
494	65798.09763
495	65774.49498
496	65756.78949
497	65747.63986
498	65737.26622
499	65729.27169
500	65707.07229
501	65680.89844
502	65670.48669
503	65650.98493
504	65645.35938
505	65640.92391
506	65628.668
507	65620.06694
508	65606.50004
509	65588.43792
510	65572.35418
511	65555.19523
512	65547.18185
513	65537.62513
514	65519.52347
515	65507.0267
516	65495.14442
517	65487.50743
518	65481.20474
519	65479.41388
520	65466.22481
521	65458.2032
522	65451.35184
523	65446.7134
524	65429.6302
525	65421.97631
526	65414.0955
527	65405.08407
528	65393.42126
529	65388.25492
530	65366.31964
531	65349.46392
532	65334.16554
533	65326.83878
534	65320.74845
535	65310.61338
536	65294.50221
537	65281.58262
538	65263.43245
539	65257.95732
540	65242.55927
541	65234.71102
542	65216.49978
543	65195.94261
544	65188.86715
545	65174.07073
546	65172.39748
547	65162.66921
548	65146.71847
549	65135.73121
550	65121.79707
551	65109.41262
552	65093.2452
553	65084.09538
554	65051.08937
555	65046.5943
556	65027.80725
557	65015.98553
558	65001.20281
559	64995.97704
560	64987.65603
561	64980.88
562	64959.65938
563	64947.40516
564	64923.50103
565	64917.88955
566	64899.7399
567	64886.91814
568	64877.77122
569	64872.56574
570	64856.96923
571	64845.40826
572	64828.252
573	64814.46344
574	64797.09587
575	64789.2617
576	64775.88425
577	64759.5027
578	64755.6464
579	64738.95525
580	64728.99362
581	64721.86378
582	64714.09409
583	64707.6405
584	64700.42927
585	64695.07011
586	64687.10474
587	64680.83528
588	64667.08959
589	64653.90991
590	64639.74314
591	64633.4794
592	64618.83944
593	64615.21042
594	64609.16344
595	64604.22526
596	64591.6671
597	64569.5862
598	64564.57276
599	64557.44265
600	64539.90909
601	64523.69357
602	64487.65984
603	64479.32924
604	64464.89281
605	64459.10503
606	64440.67836
607	64427.89803
608	64402.02388
609	64388.82664
610	64369.76918
611	64364.78213
612	64357.94295
613	64346.59895
614	64338.13247
615	64334.30881
616	64320.72692
617	64311.13303
618	64302.02605
619	64298.60033
620	64283.10893
621	64277.61184
622	64265.063
623	64246.62644
624	64216.33928
625	64199.86894
626	64191.74363
627	64178.75649
628	64171.21202
629	64160.07411
630	64142.08399
631	64125.44725
632	64112.60321
633	64109.27878
634	64097.24666
635	64088.19608
636	64074.8231
637	64059.22036
638	64044.53642
639	64039.69003
640	64029.99969
641	64023.42312
642	63995.0898
643	63980.73873
644	63976.76073
645	63964.32977
646	63950.88453
647	63929.01701
648	63915.13044
649	63902.52306
650	63896.09691
651	63885.40168
652	63877.13972
653	63864.71672
654	63850.77827
655	63842.66028
656	63837.5276
657	63813.0533
658	63795.34101
659	63787.96343
660	63781.50099
661	63774.68471
662	63759.93854
663	63747.97165
664	63728.40637
665	63722.72106
666	63706.40942
667	63700.33515
668	63690.24072
669	63678.90021
670	63671.27894
671	63657.93018
672	63651.86503
673	63646.48382
674	63640.67737
675	63606.8509
676	63597.4491
677	63584.67956
678	63582.37081
679	63577.15923
680	63572.25514
681	63560.10608
682	63548.51656
683	63542.70685
684	63530.45512
685	63525.84769
686	63521.12421
687	63504.14383
688	63499.95831
689	63486.44645
690	63470.21909
691	63463.85272
692	63462.22761
693	63451.11168
694	63445.0559
695	63431.14303
696	63420.66188
697	63415.95973
698	63403.93601
699	63391.89919
700	63386.33057
701	63369.66961
702	63359.73458
703	63349.0206
704	63334.81379
705	63311.92837
706	63299.65732
707	63294.97636
708	63277.16292
709	63265.41727
710	63253.15185
711	63242.37734
712	63237.0401
713	63224.18721
714	63210.86368
715	63206.32726
716	63200.65135
717	63190.95108
718	63178.43147
719	63164.71534
720	63161.18779
721	63152.22497
722	63140.51551
723	63129.72681
724	63122.30417
725	63090.68398
726	63083.96492
727	63058.04466
728	63054.14192
729	63046.40507
730	63041.63798
731	63032.37587
732	63023.84323
733	63022.29407
734	63014.56209
735	62991.07783
736	62981.89325
737	62974.20812
738	62962.93476
739	62953.74506
740	62945.22301
741	62933.5419
742	62924.36287
743	62914.01021
744	62903.79241
745	62899.35084
746	62888.16755
747	62866.68961
748	62851.15564
749	62826.50385
750	62816.39936
751	62812.11309
752	62790.68659
753	62777.66376
754	62770.3138
755	62760.20975
756	62755.06735
757	62737.17868
758	62724.42142
759	62710.34915
760	62705.42804
761	62690.8944
762	62680.51308
763	62669.69149
764	62659.47381
765	62653.97879
766	62637.03055
767	62635.54835
768	62631.8363
769	62621.47618
770	62610.38472
771	62598.88963
772	62594.63056
773	62584.02808
774	62558.8451
775	62546.35163
776	62543.32789
777	62530.62259
778	62522.07195
779	62514.21271
780	62505.59473
781	62492.5024
782	62462.86038
783	62459.38861
784	62436.23423
785	62435.01513
786	62411.75739
787	62400.69748
788	62392.55356
789	62381.7709
790	62365.50102
791	62355.33098
792	62351.27713
793	62346.04241
794	62343.17578
795	62340.27282
796	62335.32942
797	62324.23549
798	62313.84155
799	62303.51906
800	62293.53883
801	62281.41546
802	62267.67642
803	62263.69051
804	62250.65593
805	62243.5952
806	62236.41511
807	62228.77232
808	62224.9602
809	62220.86145
810	62213.19548
811	62197.60006
812	62182.50265
813	62176.35011
814	62171.97227
815	62165.31442
816	62161.10129
817	62150.71299
818	62147.30595
819	62142.89558
820	62132.17498
821	62120.32746
822	62092.13513
823	62079.78155
824	62076.38134
825	62063.39403
826	62053.17249
827	62052.08808
828	62042.31814
829	62032.40542
830	62019.98547
831	62005.51343
832	62001.58118
833	61991.01859
834	61986.01107
835	61976.9172
836	61968.25195
837	61961.65329
838	61938.03949
839	61933.01745
840	61921.31059
841	61914.54149
842	61911.03952
843	61906.19959
844	61901.89104
845	61898.65579
846	61889.84863
847	61882.49933
848	61876.76554
849	61858.03692
850	61851.34445
851	61847.53403
852	61840.73044
853	61833.02791
854	61825.25099
855	61813.42119
856	61804.78314
857	61799.58081
858	61780.85371
859	61771.47678
860	61753.66984
861	61739.91129
862	61730.17262
863	61718.78465
864	61716.08619
865	61686.0327
866	61676.95517
867	61670.24049
868	61666.57143
869	61662.25513
870	61654.88479
871	61646.93705
872	61637.775
873	61634.15362
874	61625.26807
875	61612.08573
876	61602.33518
877	61584.38622
878	61571.97791
879	61567.60093
880	61559.31741
881	61552.02923
882	61514.82748
883	61509.29376
884	61482.36189
885	61472.44532
886	61449.79894
887	61438.54974
888	61435.06783
889	61428.09768
